year,revenue,cogs,gross_profit,operating_income,net_income,total_assets,operating_cf,gross_margin,operating_margin,net_profit_margin,roa,current_ratio,asset_turnover
2006,822.9,258.0,564.9,62.0,41.4,604.2,103.6,20.93,7.53,5.03,6.86,2.92,1.36
2007,1085.8,346.4,739.4,108.2,70.6,722.1,146.9,22.34,9.96,6.5,9.77,2.75,1.5
2008,1332.0,466.0,866.0,122.9,71.4,873.3,205.8,21.54,9.31,5.87,9.48,2.75,1.61
2009,1518.2,561.1,957.1,206.1,126.8,1061.7,253.9,24.93,13.42,8.35,13.19,2.91,1.58
2010,1840.9,738.7,1102.2,290.4,179.0,1263.1,344.4,26.66,15.68,9.75,15.96,3.3,1.64
2011,2269.548,1680.321,589.227,350.562,214.945,1425.308,411.096,25.96,15.45,9.47,15.08,3.18,1.59
2012,2731.224,1990.884,740.34,455.865,278.0,1668.667,419.963,27.11,16.69,10.18,16.66,2.93,1.64
2013,3214.591,2359.822,854.769,532.721,327.438,2009.28,528.78,26.59,16.57,10.19,16.3,3.34,1.6
2014,4108.269,2990.513,1117.756,710.8,445.374,2527.317,682.067,27.21,17.3,10.84,17.62,3.5,1.63
2015,4501.223,3326.936,1174.287,763.589,475.602,2725.066,683.316,26.09,16.96,10.57,17.45,2.91,1.65
2016,3904.384,3406.17,498.214,34.567,22.938,2026.103,355.16,12.76,0.885,0.587,1.13,1.85,1.93
2017,4476.412,3720.196,756.216,270.794,176.253,2045.692,468.216,16.89,6.05,3.94,8.62,1.94,2.19
2018,4864.985,3953.993,910.992,258.368,176.553,2265.518,621.552,18.73,5.31,3.63,7.79,1.81,2.15
2019,5586.369,4443.879,1142.49,443.958,350.158,5104.604,721.632,20.45,7.95,6.27,6.86,1.61,1.09
2020,5984.634,4943.553,1041.081,290.164,355.766,5982.896,663.847,17.4,4.85,5.94,5.95,1.73,1.0
2021,7547.061,5840.052,1707.009,804.943,652.984,6652.958,1282.081,22.62,10.67,8.65,9.81,1.58,1.13
2022,8634.652,6572.533,2062.119,1160.403,899.101,6927.504,1323.179,23.88,13.44,10.41,12.98,1.28,1.25
2023,9871.649,7285.557,2586.092,1557.813,1228.737,8044.362,1783.477,26.2,15.78,12.45,15.27,1.57,1.23
2024,11313.853,8296.161,3017.692,1916.332,1534.11,9204.374,2105.076,26.67,16.94,13.56,16.67,1.52,1.23
